number of bedrooms,number of bathrooms,lot area,number of floors,waterfront present,condition of the house,grade of the house,Built Year,Postal Code,Lattitude,Longitude,living_area_renov,lot_area_renov,Number of schools nearby,Distance from the airport,Price,House_Age,Total_Area
5,2,9050,2.0,0,5,10,1921,122003,52.8645,-114.557,2880,5400,2,58,2380000,104,3650
4,2,4000,1.5,0,5,8,1909,122004,52.8878,-114.47,2470,4000,2,51,1400000,116,2920
5,2,9480,1.5,0,3,8,1939,122004,52.8852,-114.468,2940,6600,1,53,1200000,86,2910
4,2,42998,2.0,0,3,9,2001,122005,52.9532,-114.321,3350,42847,3,76,838000,24,3310
3,2,4500,1.5,0,4,8,1929,122006,52.9047,-114.485,2060,4500,1,51,805000,96,2710
3,2,4750,1.0,0,4,9,1951,122007,52.9133,-114.59,2380,4750,1,67,790000,74,2600
5,3,11995,2.0,0,3,10,2006,122008,52.7637,-114.05,3320,11241,3,72,785000,19,3660
3,1,10578,2.0,0,5,8,1923,122006,52.9254,-114.482,1570,10578,3,71,750000,102,2240
3,2,6550,1.0,0,4,8,1955,122009,52.8014,-114.598,2010,6550,1,73,750000,70,2390
4,2,11250,1.5,0,5,7,1920,122010,52.9145,-114.391,2320,10814,2,53,698000,105,2200
5,2,67518,2.0,0,3,8,1979,122011,52.8094,-114.215,2820,48351,2,51,675000,46,2820
4,2,5000,1.5,0,3,7,1945,122006,52.9115,-114.459,2060,5000,2,69,650000,80,1820
4,2,6200,1.5,0,3,7,1945,122006,52.908,-114.459,1910,6200,3,80,640000,80,1520
4,2,37277,2.0,0,3,9,2000,122012,52.6934,-114.177,2390,39299,1,74,630000,25,2710
3,2,1572,2.5,0,3,9,2005,122013,52.8798,-114.511,2410,3050,3,51,626000,20,1750
4,2,8408,2.0,0,3,9,2014,122014,52.9838,-114.515,1300,8408,3,55,625000,11,2820
4,3,54014,1.0,0,3,9,2007,122015,52.7433,-114.3,2730,111274,1,70,625000,18,2730
